Follower Athlete ID,Follow Status,Created At
2389142,Accepted,"Jun 20, 2013, 7:22:57 PM"
2415164,Accepted,"Jun 24, 2013, 4:33:14 PM"
407575,Accepted,"Jul 21, 2013, 5:58:28 PM"
2431658,Accepted,"Jul 21, 2013, 6:32:24 PM"
3944,Accepted,"Jul 22, 2013, 10:06:38 AM"
527659,Accepted,"Jul 23, 2013, 6:58:26 PM"
1826517,Accepted,"Jul 25, 2013, 1:13:38 AM"
251689,Accepted,"Jul 28, 2013, 3:36:13 PM"
794877,Accepted,"Jul 29, 2013, 12:11:37 PM"
509197,Accepted,"Jul 31, 2013, 3:13:21 AM"
67647,Accepted,"Aug 5, 2013, 2:16:07 AM"
2874459,Accepted,"Aug 26, 2013, 9:35:02 PM"
637692,Accepted,"Sep 19, 2013, 1:17:17 AM"
300910,Accepted,"Nov 22, 2013, 10:55:56 PM"
899239,Accepted,"Dec 1, 2013, 8:47:33 PM"
283882,Accepted,"Mar 24, 2014, 2:40:15 AM"
4827199,Accepted,"May 14, 2014, 2:52:54 AM"
1069715,Accepted,"Aug 10, 2014, 2:08:03 AM"
1791827,Accepted,"Aug 12, 2014, 1:27:04 AM"
2221916,Accepted,"Mar 22, 2015, 5:39:56 PM"
1676158,Accepted,"Apr 5, 2015, 5:28:35 PM"
1473751,Accepted,"Apr 12, 2015, 5:09:48 PM"
5444357,Accepted,"Jul 8, 2015, 2:33:43 AM"
3203349,Accepted,"Jul 21, 2015, 9:44:25 PM"
178749,Accepted,"Jul 23, 2015, 4:41:05 AM"
3454811,Accepted,"Aug 29, 2015, 6:19:53 PM"
255291,Accepted,"Jul 19, 2016, 11:53:46 PM"
13033649,Accepted,"Jul 27, 2016, 11:25:25 PM"
16459418,Accepted,"Nov 22, 2016, 10:48:07 PM"
10733220,Accepted,"Mar 9, 2017, 4:12:40 PM"
347778,Accepted,"Apr 9, 2017, 7:22:45 PM"
15888171,Accepted,"Apr 20, 2017, 5:18:25 PM"
13013602,Accepted,"Jul 15, 2017, 11:41:25 AM"
27577099,Accepted,"Jan 25, 2018, 8:04:05 PM"
25888387,Accepted,"Jun 17, 2018, 11:53:50 AM"
3633551,Accepted,"Jul 4, 2018, 3:13:50 PM"
26828108,Accepted,"Jul 12, 2018, 9:31:44 PM"
28474524,Accepted,"Jul 27, 2018, 1:58:09 AM"
26319057,Accepted,"Sep 29, 2018, 9:36:37 PM"
34652130,Accepted,"Apr 27, 2019, 7:58:31 AM"
45524156,Accepted,"Aug 18, 2019, 8:45:42 PM"
10082157,Accepted,"Sep 6, 2019, 1:24:06 AM"
42125975,Accepted,"Sep 21, 2019, 6:28:15 PM"
29051252,Accepted,"Oct 2, 2019, 2:58:07 AM"
39451111,Accepted,"Oct 24, 2019, 10:24:30 PM"
37542296,Accepted,"Dec 10, 2019, 4:18:20 AM"
54638717,Accepted,"May 17, 2020, 6:34:50 PM"
36409695,Accepted,"Jun 6, 2020, 5:54:43 PM"
21755198,Accepted,"Jun 18, 2020, 5:06:10 PM"
34300416,Accepted,"Aug 24, 2020, 12:41:10 PM"
65661890,Accepted,"Aug 25, 2020, 8:24:30 PM"
24631671,Accepted,"Oct 7, 2020, 3:32:23 AM"
33383210,Accepted,"Oct 10, 2020, 7:43:15 PM"
61755292,Accepted,"Nov 1, 2020, 1:55:44 AM"
49998608,Accepted,"Jul 10, 2021, 11:22:32 AM"
66599298,Accepted,"Jul 23, 2021, 10:00:11 PM"
62793315,Accepted,"Jul 24, 2021, 2:26:12 PM"
17614133,Accepted,"Aug 15, 2021, 7:14:50 AM"
48047358,Accepted,"Aug 30, 2021, 8:58:28 PM"
57799916,Accepted,"Sep 5, 2021, 10:59:27 AM"
28374614,Accepted,"Sep 23, 2021, 7:33:36 PM"
98437079,Accepted,"May 7, 2022, 12:28:58 AM"
23101,Accepted,"Jun 3, 2022, 4:30:07 PM"
62452090,Accepted,"Jun 13, 2022, 6:37:30 PM"
74850160,Accepted,"Jul 20, 2022, 1:29:56 AM"
27768033,Accepted,"Oct 1, 2022, 5:38:34 PM"
103504337,Accepted,"Oct 31, 2022, 10:27:34 PM"
116077453,Accepted,"Apr 9, 2023, 9:29:16 PM"
17060154,Accepted,"Jul 7, 2023, 1:01:08 AM"
9605809,Accepted,"Jul 7, 2023, 2:23:57 AM"
16466391,Accepted,"Jul 8, 2023, 3:10:13 PM"
10656581,Accepted,"Jul 8, 2023, 10:06:54 PM"
1044122,Accepted,"Jul 8, 2023, 11:17:54 PM"
124557605,Accepted,"Sep 15, 2023, 9:35:28 PM"
120704497,Accepted,"Sep 16, 2023, 11:54:11 PM"
119804046,Accepted,"Jan 17, 2024, 9:13:44 PM"
29796399,Accepted,"Jun 11, 2024, 11:59:48 PM"
120617102,Accepted,"Jun 12, 2024, 12:00:32 AM"
2933158,Accepted,"Jun 12, 2024, 12:04:48 AM"
2394619,Accepted,"Jun 12, 2024, 12:39:48 AM"
29455617,Accepted,"Jun 12, 2024, 12:52:29 AM"
61080309,Accepted,"Jun 14, 2024, 12:25:44 AM"
106329173,Accepted,"Jul 11, 2024, 5:45:50 PM"
9565373,Accepted,"Aug 14, 2024, 12:15:01 AM"
35621935,Accepted,"Aug 14, 2024, 1:15:46 AM"
49234,Accepted,"Aug 14, 2024, 4:54:30 PM"
60872429,Accepted,"Aug 16, 2024, 12:32:53 AM"
4146373,Accepted,"Aug 17, 2024, 3:31:03 PM"
8566462,Accepted,"Aug 24, 2024, 8:07:16 PM"
59925009,Accepted,"Aug 31, 2024, 3:56:05 PM"
22089482,Accepted,"Aug 31, 2024, 11:11:02 PM"
150809933,Accepted,"Feb 11, 2025, 2:25:07 AM"
