Reaction Date,Reaction Type,Parent Type,Parent ID
"Jul 22, 2013, 12:59:36 AM",Kudos,Activity,68726085
"Jul 22, 2013, 12:59:35 AM",Kudos,Activity,68737948
"Jul 22, 2013, 12:59:53 AM",Kudos,Activity,68746671
"Jul 22, 2013, 12:59:47 AM",Kudos,Activity,68751609
"Jul 22, 2013, 12:59:57 AM",Kudos,Activity,68773611
"Jul 22, 2013, 12:59:59 AM",Kudos,Activity,68804536
"Jul 22, 2013, 4:01:02 AM",Kudos,Activity,68766441
"Jul 28, 2013, 3:21:37 PM",Kudos,Activity,70433490
"Jul 28, 2013, 4:37:11 PM",Kudos,Activity,70402700
"Jul 28, 2013, 4:37:32 PM",Kudos,Activity,70444012
"Jul 28, 2013, 4:38:41 PM",Kudos,Activity,70431144
"Jul 28, 2013, 6:11:31 PM",Kudos,Activity,70479840
"Jul 28, 2013, 6:12:05 PM",Kudos,Activity,70466208
"Jul 28, 2013, 10:18:50 PM",Kudos,Activity,70517691
"Jul 28, 2013, 10:19:14 PM",Kudos,Activity,70489181
"Jul 28, 2013, 10:19:21 PM",Kudos,Activity,70475477
"Jul 29, 2013, 10:37:15 PM",Kudos,Activity,70771244
"Jul 29, 2013, 10:37:57 PM",Kudos,Activity,70492412
"Jul 29, 2013, 10:38:21 PM",Kudos,Activity,70646611
"Jul 29, 2013, 10:39:20 PM",Kudos,Activity,70635365
"Jul 31, 2013, 2:37:01 AM",Kudos,Activity,71059153
"Jul 31, 2013, 2:37:09 AM",Kudos,Activity,71051741
"Jul 31, 2013, 2:37:12 AM",Kudos,Activity,71038510
"Jul 31, 2013, 2:37:12 AM",Kudos,Activity,71032863
"Aug 2, 2013, 10:15:02 PM",Kudos,Feed Entry,1745594
"Aug 2, 2013, 10:15:09 PM",Kudos,Feed Entry,1745598
"Aug 2, 2013, 10:15:10 PM",Kudos,Feed Entry,1741334
"Aug 2, 2013, 10:15:10 PM",Kudos,Feed Entry,1740116
"Aug 2, 2013, 10:15:13 PM",Kudos,Feed Entry,1745589
"Aug 2, 2013, 10:15:18 PM",Kudos,Activity,71712905
"Aug 2, 2013, 10:15:21 PM",Kudos,Activity,71548675
"Aug 2, 2013, 10:15:23 PM",Kudos,Activity,71518986
"Aug 2, 2013, 10:15:25 PM",Kudos,Activity,71548678
"Aug 2, 2013, 10:15:28 PM",Kudos,Activity,71548679
"Aug 4, 2013, 4:51:45 PM",Kudos,Activity,72138258
"Aug 4, 2013, 4:51:50 PM",Kudos,Activity,72131333
"Aug 4, 2013, 4:52:05 PM",Kudos,Activity,72116425
"Aug 4, 2013, 4:52:11 PM",Kudos,Activity,72129480
"Aug 4, 2013, 5:26:47 PM",Kudos,Activity,72160905
"Aug 4, 2013, 5:26:47 PM",Kudos,Activity,72171024
"Aug 4, 2013, 5:26:50 PM",Kudos,Activity,72140064
"Aug 4, 2013, 6:17:13 PM",Kudos,Feed Entry,1765671
"Aug 5, 2013, 4:41:48 PM",Kudos,Activity,72279788
"Aug 6, 2013, 1:34:12 PM",Kudos,Activity,72529786
"Aug 8, 2013, 12:54:07 AM",Kudos,Feed Entry,1802848
"Aug 9, 2013, 3:53:18 AM",Kudos,Activity,73254934
"Aug 11, 2013, 9:18:50 PM",Kudos,Activity,73964625
"Aug 11, 2013, 9:19:10 PM",Kudos,Activity,73905780
"Sep 1, 2013, 11:52:47 PM",Kudos,Activity,79272270
"Mar 16, 2014, 5:05:54 PM",Kudos,Feed Entry,4221583
"May 11, 2014, 10:55:28 PM",Kudos,Activity,139936458
"Jul 15, 2014, 2:06:00 PM",Kudos,Activity,166189577
"Jul 15, 2014, 2:06:02 PM",Kudos,Activity,166071841
