Following Athlete ID,Follow Status,Created At
2389142,Accepted,"Jun 20, 2013, 7:23:21 PM"
509197,Accepted,"Jun 23, 2013, 9:26:27 PM"
2415164,Accepted,"Jun 24, 2013, 4:51:37 PM"
2431658,Accepted,"Jul 21, 2013, 3:37:23 PM"
975959,Accepted,"Jul 21, 2013, 3:37:38 PM"
527659,Accepted,"Jul 21, 2013, 3:37:26 PM"
1785502,Accepted,"Jul 21, 2013, 3:37:35 PM"
1826517,Accepted,"Jul 21, 2013, 3:37:37 PM"
3944,Accepted,"Jul 21, 2013, 3:37:46 PM"
1195613,Accepted,"Jul 21, 2013, 3:37:44 PM"
1899634,Accepted,"Jul 21, 2013, 3:37:52 PM"
23101,Accepted,"Jul 21, 2013, 5:52:48 PM"
407575,Accepted,"Jul 21, 2013, 5:52:57 PM"
182884,Accepted,"Jul 24, 2013, 2:51:01 AM"
251689,Accepted,"Jul 28, 2013, 4:00:04 PM"
1984960,Accepted,"Jul 28, 2013, 6:11:46 PM"
794877,Accepted,"Jul 29, 2013, 12:32:02 PM"
67647,Accepted,"Aug 4, 2013, 5:08:32 PM"
637692,Accepted,"Aug 6, 2013, 1:35:41 PM"
129248,Accepted,"Aug 11, 2013, 9:19:32 PM"
179974,Accepted,"Aug 22, 2013, 3:59:55 PM"
414470,Accepted,"Aug 22, 2013, 3:59:58 PM"
2874459,Accepted,"Aug 31, 2013, 1:00:05 AM"
300910,Accepted,"Nov 23, 2013, 1:05:17 AM"
1939202,Accepted,"Mar 3, 2014, 1:30:38 PM"
283882,Accepted,"Mar 24, 2014, 2:21:41 AM"
49234,Accepted,"Mar 24, 2014, 2:21:48 AM"
1167513,Accepted,"Apr 13, 2014, 1:15:32 PM"
1688826,Accepted,"Apr 13, 2014, 1:15:34 PM"
3839130,Accepted,"Jun 25, 2014, 12:08:23 AM"
799377,Accepted,"Jul 1, 2014, 11:36:16 AM"
1603067,Accepted,"Jul 24, 2014, 7:43:33 PM"
1791827,Accepted,"Aug 7, 2014, 2:10:46 AM"
297171,Accepted,"Aug 8, 2014, 12:48:17 AM"
337350,Accepted,"Aug 9, 2014, 9:50:57 PM"
1069715,Accepted,"Aug 9, 2014, 9:51:02 PM"
1676158,Accepted,"Apr 5, 2015, 5:17:06 PM"
10441363,Accepted,"Jun 7, 2016, 12:56:32 PM"
10799453,Accepted,"Jun 21, 2016, 11:21:52 PM"
9902225,Accepted,"Jun 21, 2016, 11:21:57 PM"
1989851,Accepted,"Jun 26, 2016, 9:59:26 PM"
13033649,Accepted,"Jul 29, 2016, 1:37:09 AM"
16459418,Accepted,"Sep 15, 2016, 12:48:40 PM"
12676792,Accepted,"Oct 18, 2016, 12:40:23 AM"
347778,Accepted,"Apr 9, 2017, 8:55:29 PM"
10733220,Accepted,"Jun 10, 2017, 4:01:43 PM"
6287634,Accepted,"Jul 11, 2017, 9:54:10 PM"
26828108,Accepted,"Jul 12, 2018, 9:32:01 PM"
